id;autors;fecha_nato
757;Johann Friedrich Starck;1905-12-03
758;Ruth Miskin;1916-03-16
759;David Leedom Shaul;1902-05-06
760;Matthew Linn;1937-08-16
761;Gary Lee COLLISON;1914-07-18
762;Betty Cavanna;1918-11-24
763;Robert Tallant;1960-12-27
764;David Morrish;1913-12-06
765;Margaret Mead;1902-02-23
766;Joan Robinson;2008-09-04
767;Rob Walker;1947-09-11
768;James Charles Raymond;1960-03-02
769;Francis Bok;1948-04-18
770;Margaret Coffin;2020-10-18
771;A. BRAMSON;1936-01-10
772;Emilie P. Rose;1927-05-25
773;Vicktor Barrios;1971-07-08
774;George Berkeley;2013-04-05
775;Scott Rutherford;1975-06-16
776;Joanne Rock;1955-08-09
777;Ross Hair;1908-02-15
778;Pamela J. Sharpe;1937-11-30
779;Joanna Mansell;1935-12-24
780;Constantin Stanislavski;1997-10-03
781;Stephen Giles;1917-08-28
782;Judith Resnick;2017-03-08
783;Mary Wollstonecraft;2017-06-26
784;Helen Sheumaker;2003-04-10
785;B. J. Rowley;1954-07-14
786;Peter Maurice Daly;2018-09-19
787;Bryanna Clark Grogan;1902-08-06
788;Gillian Crowther;1953-11-10
789;Jonathan R. Eller;1969-10-20
790;Harry Mazer;1949-05-10
791;Anne Morand;1980-10-18
792;Ivan Doig;1953-02-15
793;Dorothy Carnegie;1980-08-10
794;Robert Henry Thouless;1972-03-09
795;Kin Platt;1968-09-21
796;Charlotte Kirk Baer;1912-09-22
797;Sandra Lee, Msc;2009-08-22
798;Brad Morrell;1935-06-17
799;M. Chris Fabricant;1908-12-25
800;A. B. Spellman;1995-04-18
801;Richard Horsey;1908-01-25
802;Mitzi Waltz;1969-10-04
803;Vincent Bugliosi;1957-05-28
804;Gerard Kuc;1985-04-21
805;Yukio Mishima;2006-07-23
806;A. Redhed;1967-06-15
807;Laura L. McCullough;1975-05-17
808;Horatio Alger;2011-02-15
809;Richard Trigaux;1973-02-25
810;Jennifer Blake;1940-03-29
811;Anne Sinkler Whaley LeClercq;1947-12-19
812;Constance Scovill Small;2016-06-02
813;David Halberstam;1941-06-26
814;Hieremias Drexelius;2016-05-03
815;Will Shortz;1948-07-11
816;Gary Greenberg;1992-01-03
817;Robert Frost;1932-09-22
818;Eric Flint;2019-05-02
819;David Chong;1978-11-13
820;James P. Hogan;1916-07-01
821;Alejandro Zambra;1941-11-21
822;Arthur W. Upfield;2013-11-24
823;Alexander Elder;1946-10-11
824;Wilson Hope Nelson Andrews;1991-04-13
825;Jason Byassee;1911-09-27
826;James Applewhite;1906-02-02
827;Joseph Cottler;1916-05-01
828;Rudolf Steiner;1900-08-03
829;Francie M. Berg;1991-07-07
830;Melanie Mitchell;1914-12-14
831;Paul Boyer;2012-04-08
832;Tobias Matthay;1919-03-10
833;Leslie F. Brandt;2002-05-31
834;Helen McLean;1957-06-21
835;Jean Vanier;1999-03-06
836;Wilbur Smith;1957-03-16
837;Bill Martin, Jr.;1919-01-26
838;J. V. Frederick;1900-12-09
839;Laura Doyle;1964-07-26
840;Deborah Smith;1924-10-05
841;Terrell L. Hill;1959-12-26
842;Anne Perry;1900-01-19
843;Nancy Ellen Abrams;1940-07-11
844;John R. Zaller;2014-02-19
845;Ron Anderson;1965-04-29
846;Doris L. Ganton;1965-01-08
847;Robert Wolgemuth;1907-09-12
848;Krause Publications, Inc;1993-09-20
849;Gary Ferguson;2005-07-06
850;Larry Christenson;1901-09-27
851;David Jenness;1940-10-02
852;Frank Yerby;1981-01-10
853;A. G. Smith;1971-03-20
854;Mercedes Lackey;1904-05-10
855;David Horowitz;1989-05-26
856;Erich Kästner;1972-06-26
857;Arthur Conan Doyle;1909-01-11
858;Dover;1977-11-11
859;Jane Sullivan;1922-07-17
860;Jerrold L. Schecter;1996-04-17
861;Frederick R. Sidell;1979-06-28
862;Christine Webster;1968-08-02
863;Hank Hassell;1985-06-14
864;Michel Chion;1950-07-28
865;Charles Taze Russell;1983-04-01
866;Jim Harris;2004-05-25
867;Harry E. Allen;1933-09-22
868;Lynette Jensen;1962-09-07
869;John Banks;1987-07-08
870;Patricia Telesco;1966-12-20
871;Douglas Robert Nickel;1954-05-28
872;George Anton Kiraz;1988-12-03
873;Edward Miller;1990-03-01
874;Margaret Collins;1924-03-28
875;Edward Weeks;1955-09-29
876;Raymond Chandler;1906-04-07
877;Kevin Phillips;1943-01-11
878;Peter Simkins;1954-06-03
879;Terry Pratchett;2015-02-09
880;Graham Greene;1954-01-01
881;Catherine Marshall;1968-02-27
882;Eliga Gould;1954-12-04
883;Anon E. Mouse;1945-06-07
884;Charles Frederick Johnson;1967-01-30
885;John Richardson;1915-12-12
886;Barbara Johnson Witcher;2016-04-13
887;Jax Peters Lowell;1968-01-22
888;Nella Bielski;1911-03-17
889;Sherry Monahan;1967-12-12
890;Michael Ruhlman;1998-08-24
891;Henri Nouwen;1901-03-21
892;E. Ashley Rooney;1966-05-31
893;Robert Mills Gagné;1926-04-19
894;Robert Pinsky;1926-10-26
895;United States. Congress. House. Committee on Armed Services. Subcommittee on Research and Development;1993-05-22
896;Exam Master Corporation;1978-04-06
897;Dudley Young;2014-03-24
898;Margot Sunderland;2021-01-22
899;Alvin Pettus;1902-12-17
900;Anthony J. Bocchino;1923-02-21
901;Matthew Bishop;2012-10-17
902;Maksim Gorky;1995-09-07
903;Anna Downes;1939-12-08
904;Gordon Mitchell;1973-01-08
905;Rachel Eagen;1907-11-26
906;Paul Evan Lehman;2020-05-07
907;Ken Wardius;1971-03-29
908;Ralph M. Kovel;1905-01-04
909;Insight Guides;2006-05-20
910;Melissa Hemsley;1921-11-27
911;Arthur Gordon;2015-05-28
912;Bartley Gorman with Peter Walsh;1972-10-22
913;William Hall;1989-08-21
914;Jane Larson Wipf;1955-01-28
915;Kim Newman;1900-02-04
916;Margaret L. Johnson;2000-01-16
917;Martyn Hurn;1996-05-19
918;Robert L. Herbert;1998-12-13
919;David S. Kenik;1925-07-14
920;Kerry Patterson;1911-08-08
921;Daniel Lombardo;2018-08-06
922;Karen Essex;1928-08-21
923;Wilcox Ella Wheeler;1990-07-27
924;Elisabeth Smith;2021-02-21
925;William Empson;1912-07-16
926;Lon Schleining;1914-07-01
927;Douglas Hill;1982-01-29
928;Leonard Feinberg;1968-01-26
929;A. J. Finn;1934-07-30
930;Ravindra Kumar;1937-04-08
931;Ruby Ann Boxcar;1932-06-26
932;Ed Tittel;2008-09-17
933;Eleanor Gates;1948-11-13
934;Astrid Holleeder;1939-11-07
935;Charles Simic;2012-06-09
936;Burton Goodman;1996-07-14
937;Noel Perrin;1916-06-17
938;Jeanine Cummins;1954-10-18
939;Pierre Van Paassen;1975-09-27
940;Robert Shea;1915-11-29
941;Jennifer Ogle;1975-02-21
942;David Morrell;1995-10-20
943;Nancy Gift;1959-05-11
944;Sigmund Freud;2001-10-13
945;Angie Williams;1916-05-25
946;Stacey Levine;1969-02-14
947;Deanna Swaney;1977-10-14
948;William Kabzinski;2013-02-11
949;一茶·小林;1916-02-14
950;Dale Wasserman;1904-04-01
951;Randy Garbin;1929-09-12
952;Edmond John;1992-01-17
953;Lloyd J. Harris;1900-04-06
954;Simonetta Carr;1992-09-14
955;Jonathan Harbour;2005-03-09
956;Sister Souljah;1985-08-28
957;Richard Reitzenstein;1945-04-10
958;Victoria and Albert museum libr;1942-06-12
959;Maryann Chach;2015-12-03
960;J. P. Polidoro;1977-11-30
961;Maharshi Ramana;2010-03-29
962;A.C. Chang;1940-10-07
963;Richard M. Hodgetts;2018-04-20
964;Karen Rivers;1962-06-16
965;Robert James Maddox;1948-08-20
966;Gail Howard;1932-12-16
967;Yigal Levin;1993-10-09
968;C. H. Spurgeon;1997-11-07
969;Arnold Houbraken;1941-04-12
970;Thomas Edward Lawrence;1929-04-22
971;Rosemary Sassoon;1918-05-08
972;Joseph Devlin;2012-11-26
973;Richard Barrett;1995-02-16
974;Lucy Larcom;1933-05-10
975;Eduardo Sguiglia;1917-03-14
976;Wilke Collins;1963-03-08
977;Maureen Witt;1998-03-03
978;Jeanne Shaw;1923-05-11
979;Frances Hesselbein;1970-10-14
980;William Wesley Peterson;1964-02-10
981;Shelly R. Wilson;1902-09-15
982;Abigail Van Buren;1910-09-08
983;J. Dale Miller;2018-05-16
984;John V. Dennis;2019-05-03
985;Philip Van Doren Stern;1915-01-18
986;Clive Gifford;1939-10-09
987;Serge Obolensky;1936-08-20
988;Mina García Soormally;1934-09-24
989;Rozzi Bazzani;1912-12-10
990;Dennis Freeborn;1937-09-22
991;Tomas Larsson;2009-11-11
992;Dave Pelzer;1904-09-23
993;Tony Wood;1921-02-23
994;Philip Schaff;1900-12-26
995;Val Kilmer;1935-08-23
996;Roger Elwood;1927-12-12
997;Daniel Dolgin Ph.D;2018-05-01
998;Thomas F. Mudloff;1975-12-09
999;Jackie French Koller;1941-01-11
1000;Edward Lear;2021-04-14
1001;Alf Taylor;1976-01-24
1002;"Toole"", ";1920-05-26
1003;Andrew W. Lo;1918-04-03
1004;Gore Vidal;1918-06-20
1005;Lori Hellander;1998-11-25
1006;Walt Whitman;1901-12-29
1007;M. Lutin;1975-05-06
1008;Cliff Kalibjian;1955-08-13
1009;Lynn Powell;2010-05-22
1010;Allan Kardec;2007-01-23
1011;Bob Miller;1902-04-24
1012;Jesse Stuart;2010-07-28
1013;James Allen;1972-12-04
1014;Heister Dean Guie;1942-07-20
1015;Keith Marston;1915-10-21
1016;Holly George-Warren;1961-03-30
1017;Iris Muriel Fresson;1946-10-08
1018;"Rourke""]";2019-02-03
1019;Alan Saperstein;1913-05-31
1020;Margaret Thompson Drewal;2010-07-08
1021;John W. Gacy;1956-01-18
1022;Clare B. Dunkle;1937-07-16
1023;John K. Francis;1906-05-05
1024;Gary Inrig;1991-07-19
1025;Rowan Coleman;1947-04-27
1026;Robert Burton;1908-01-02
1027;Melody Carlson;1965-08-04
1028;Rona Jaffe;1943-12-05
1029;Tom Stienstra;1990-12-24
1030;Arthur W. Pink;1903-12-09
1031;Mohja Kahf;1900-12-16
1032;Kenneth Neill Cameron;1940-08-22
1033;Robert G. Weiner;1900-10-11
1034;Rolando Rangel;1955-02-19
1035;Leonard Bloomfield;1940-10-15
1036;Health Insurance Association of America;1922-03-11
1037;Leonard Alexander Swann;1923-12-30
1038;Larry Hallar;2020-07-07
1039;Jocelyn Wills;1970-09-01
1040;Ellen MacGregor;2012-01-21
1041;Albert Barden;1948-01-08
1042;Stanley Hauerwas;1986-04-17
1043;Julie Kagawa;1918-09-19
1044;Geert Bettinger;1960-04-08
1045;Bertrice Small;2019-12-16
1046;David L. Empey;1912-01-11
1047;Rose Arny;1926-06-30
1048;Maggie Shayne;1938-02-06
1049;Christine B. McCormick;2017-03-06
1050;Aharon Apelfeld;1952-10-09
1051;Ann Cooper;1939-03-18
1052;D. H. Lawrence;2008-09-01
1053;Paul Pratt;1902-02-09
1054;Louis Bayard;2001-06-03
1055;Yehudi Menuhin;2012-09-10
1056;A. H. Benjamin;1971-04-30
1057;Karen Baicker;1974-08-16
1058;Connie Clough Eaton;1962-11-20
1059;C. J. Bardelmeijer;1909-04-22
1060;Linda Crew;1948-12-18
1061;Lene Gammelgaard;1982-05-05
1062;Henry Miller;1918-01-28
1063;Anne Coe Heyniger;1973-03-19
1064;Lavender Longstaff;1972-07-04
1065;Albert Richmond Bond;1915-09-06
1066;Garland Greever;1916-01-18
1067;Malcolm Cook McMillan;1934-07-23
1068;Andy Soltis;1994-04-23
1069;Avery Dulles;1967-09-15
1070;James Branch Cabell;1974-03-20
1071;David Quammen;1913-11-20
1072;Peter Turchin;1926-09-23
1073;Charles Pearce;1955-01-19
1074;Sandra Truscott;2000-01-14
1075;Catherine Peters;1940-08-12
1076;Kazimierz BULAS (and WHITFIELD (Francis James));2001-09-11
1077;Walter Martin;2021-02-23
1078;Christian Karner;1970-06-07
1079;Philippe Jorion;1936-02-05
1080;Stuart Wilde;1908-04-06
1081;Christopher Cannon;2019-09-21
1082;R. T. France;1974-11-05
1083;Donald A. Chu;1936-08-16
1084;Shams al-Dīn Aḥmad Aflākī;1948-07-13
1085;Sabine Baring-Gould;1928-06-19
1086;Vanessa Berridge;2008-05-13
1087;Jerome Doolittle;1923-08-12
1088;Miriam Cox;1981-01-05
1089;Jayne Netley Mayhew;1955-03-28
1090;Joseph Panicello;1994-05-30
1091;P.G. Wodehouse;1966-11-07
1092;George Orwell;1994-04-24
1093;Gianluca Fantoni;1930-08-16
1094;Frederik Barth;1991-09-24
1095;Holly Woodlawn;2021-03-19
1096;Linda Grotke Salisbury;1946-01-26
1097;Lynn McCleary;1997-05-12
1098;James B. Kuo;1950-08-04
1099;Kathryn Harvey;1902-01-23
1100;Salem Kirban;1999-08-12
1101;Arnold Kludas;2010-07-17
1102;Ernest C. Ackermann;1932-01-14
1103;Todd Whitaker;1934-11-19
1104;Terrance Dicks;1965-03-04
1105;Julian Sommerville Hatcher;2008-04-10
1106;Nancy Carlson;1934-06-15
1107;Paul L. Nunez;2007-02-06
1108;Robert Hans van Gulik;2010-11-27
1109;Schwartz;1975-07-09
1110;Pablo Garcia Loaeza;1902-12-08
1111;Johnnie Leotis Runnels;1972-02-25
1112;Thornton Wilder;1938-06-02
1113;Peggy R. Purdue;1993-08-23
1114;Joe Cummings;1975-01-01
1115;Norman C. Habel;1923-11-13
1116;Thomas J. Osler;2004-10-17
1117;Katharine Lee Bates;1982-01-23
1118;Anne Rice;1999-08-25
1119;Sankar Muthu;1951-04-19
1120;Judie Haynes;1931-06-06
1121;Colleen Collins;1936-03-16
1122;Walter J. Hollenweger;1927-08-16
1123;H. C. Armstrong;1976-08-11
1124;William Sleator;1958-10-16
1125;Charlotte Perkins Gilman;1997-03-06
1126;Wendy K. Ulmer;1979-08-19
1127;Ray Bradbury;2020-06-01
1128;Elisabeth Pendley;2008-03-05
1129;Georges Simenon;1938-10-24
1130;Adolf von Schell;1947-09-23
1131;George Ehrenhaft;1911-07-15
1132;Richard Dronskowski;1906-02-25
1133;John Ortberg;2014-04-21
1134;Bruce Moody;1912-02-26
1135;Stefan Jaworzyn;1991-11-16
1136;Eva H. Dodsworth;1954-12-02
1137;George Eliot;1905-11-17
1138;William M. Fletcher;1955-09-02
1139;Dallas S. Paskell;1982-06-27
1140;Paul Gilbert;1953-06-28
1141;Charles Mangarella;1908-01-02
1142;Nuke DeLoach;1921-12-15
1143;H. J. A. Sire;1935-03-02
1144;Paulette Wolf;1981-10-09
1145;Rick Geffken ;1974-09-25
1146;Stella Walthall Patterson;1968-03-18
1147;Marty Bunis;1919-12-10
1148;Marco Iansiti;1930-01-26
1149;Ellyn Bache;1953-09-19
1150;John Thomas Edson;1980-06-09
1151;Kiera Cass;1968-01-31
1152;Ben Pathen;1926-01-17
1153;M. F. Golnaraghi;1996-11-25
1154;University of Cincinnati. Library;1949-09-25
1155;Margaret Markwick;1949-01-29
1156;William Paley;2015-05-01
1157;Damon Knight;1949-07-09
1158;Lila Abu-Lughod;1969-02-19
1159;Malcolm L. Kushner;1924-10-20
1160;Krystyna Mazur;1985-05-06
1161;E. L. Dereniak;1905-02-07
1162;Lynne Reid Banks;1974-11-20
1163;Stephen Greco;1920-07-10
1164;Butterick Publishing Company;2006-07-11
1165;"Andrea""]";1950-05-10
1166;Anna Woltz;1957-07-04
1167;Richard Rosenfeld;1967-05-20
1168;Henry James;1954-01-10
1169;Alexander Wuchevich;1971-06-30
1170;Jonathan Williams;1988-11-02
1171;Ruthie Wornall;1954-03-14
1172;Demetrius Fordham;1990-05-02
1173;Jeanne Betancourt;1946-08-12
1174;Ben Jacobs;1957-12-10
1175;E. Bruce Goldstein;1926-08-31
1176;Peter Mark Roget;1978-02-11
1177;James Joyce;1974-10-27
1178;"Brien""]";1989-02-07
1179;Friedrich Nietzsche;1963-01-12
1180;Donald S. Whitney;1916-04-06
1181;Kotoyama,;2004-09-04
1182;Genia;1914-07-27
1183;John JB. Wilson;2006-08-24
1184;Lucy Perkins;1950-09-23
1185;Alexandra Sellers;1923-06-21
1186;Martial;1973-10-18
1187;Eleanor Herbes Wollenzien;2019-01-14
1188;Les Parrott;1937-04-04
1189;Alan Menken;1982-12-09
1190;John L. Cameron;1957-05-17
1191;Bob Cary;2021-08-08
1192;Leo Tolstoy;1917-05-13
1193;Alexander McCall Smith;1908-10-15
1194;Lyn Gardner;1939-01-18
1195;Richard M. Watt;1978-09-22
1196;Titan Comics;2007-01-05
1197;Diana Page;1927-07-13
1198;Joseph Concone;2005-01-16
1199;Chris Thurman;1938-09-07
1200;Dan B. Marghitu;1957-09-06
1201;Elle Stephens;1905-07-28
1202;George E. Stephens;1966-09-06
1203;Alfonso Kieffer;2013-02-26
1204;William M. Cooper;1952-12-10
1205;Meg Zweiback;2002-08-23
1206;Albert M. Wolters;1926-10-16
1207;Monica Blackett;1900-03-22
1208;Julian Barnes;1992-10-25
1209;Paula Jhung;1966-02-04
1210;Eric Tyson;1998-06-15
1211;Sam Shepard;1921-09-04
1212;Angel Flores;2000-05-10
1213;Linda Ashman;1949-08-15
1214;Joanne Morreale;1935-02-10
1215;Myles Munroe;2009-09-09
1216;Jody Vasquez;1936-08-23
1217;Penny Grubb;1918-05-04
1218;LeRoy Eims;2009-05-19
1219;Kathryn Reiss;1994-04-16
1220;Mallory Hope Ferrell;1906-02-18
1221;Howard Brian Edgar;1983-01-09
1222;Rick Riordan;1937-03-31
1223;Kelden;2015-12-17
1224;Geoffrey Cornelius;1947-09-19
1225;Howard Greene;2012-03-19
1226;Paul Stewart;1977-01-31
1227;Barbara Mayer;1985-03-31
1228;John Lucht;1914-09-20
1229;Philip Stein;1965-10-24
1230;Les Savage;1942-09-29
1231;Georgia Bonesteel;1907-05-13
1232;Bill Dahl;1963-08-13
1233;Alex Trost;1950-02-16
1234;Joseph Girzone;1958-12-21
1235;Amy Bach;1971-09-29
1236;C. Stephen Layman;2009-09-06
1237;Geoffrey Budworth;2008-07-16
1238;Louisiana State University Mineral Law Institute;1967-09-30
1239;Maxie Dunnam;1925-07-14
1240;Cathleen Schurr;1960-01-22
1241;Marian Sandmaier;1955-11-22
1242;David Knox;1992-09-28
1243;George Rogers Clark;2006-05-11
1244;Peter R. March;1922-09-24
1245;Mark Cenczyk;1978-02-16
1246;Martin de Porres Kennedy;1924-03-04
1247;Samuel Eliot Morison;1900-02-17
1248;Zainabu Kpaka Kallon;2013-02-22
1249;Uriel Weinreich;1955-05-29
1250;George MacDonald;1958-06-06
1251;Sibsankar Haldar;1951-10-02
1252;Indur M. Goklany;1927-06-08
1253;Joseph Hatton;1990-11-02
1254;Guy Endore;1903-01-04
1255;Maggie Watson;2008-04-19
1256;Andrew Feenberg;1961-01-25
1257;Premacanda;1900-07-27
1258;Peter W. Culicover;1947-10-11
1259;Rod Powers;1954-08-10
1260;John Brown;1996-08-16
1261;Neil Astley;1955-11-02
1262;HardPress;1967-03-11
1263;Karon Phillips Goodman;1942-12-05
1264;Margaret Lovett;1989-08-06
1265;Robert Burgin;2017-05-12
1266;Debbie Reynolds;1966-04-16
1267;John Heelis;1955-07-15
1268;Lorenz, Andrew;1935-05-28
1269;Nikolaĭ Vasilʹevich Gogolʹ;1931-02-03
1270;Elizabeth Penfield;2001-01-18
1271;Lee Mero;1991-12-19
1272;Albert Howard Carter, III;1998-01-18
1273;Richard Aston;1954-03-17
1274;Marie Robinson;2021-04-14
1275;Sarah Elizabeth Thompson;1913-07-08
1276;Michael James Jefferson-Brown;1905-07-28
1277;John A. Swets;2016-03-10
1278;Erich Fromm;1991-02-02
1279;Rex Benedict;2004-03-05
1280;Randy Petersen;1931-04-12
1281;Gerald Vann;1927-11-12
1282;Thomas Love Peacock;1905-10-23
1283;John Yocum Beaty;1934-02-21
1284;Humphrey Hawksley;2000-01-24
1285;Joan Bello;1910-01-12
1286;Gabriel García Márquez;1969-07-24
1287;Herbert J. M. Ypma;2010-05-30
1288;Corey Sandler;1965-12-28
1289;Greg Davis;1993-09-22
1290;Kristine Napier;2013-11-18
1291;Hugh Delehanty;1941-02-11
1292;Caitlin Moran;1961-12-08
1293;Erika Kimpton;1901-12-31
1294;Frank Gouldsmith Speck;1955-04-02
1295;Romain Gary;1931-08-10
1296;Charles Ford Langworthy;1959-07-01
1297;David Russell;2004-06-10
1298;Margaret Millar;1977-02-16
1299;Sally Gardner Reed;1933-12-18
1300;William J. Baldwin;1907-01-17
1301;Christer Petley;1984-09-26
1302;Brian Friel;1980-10-04
1303;Michael V. Ekedahl;1901-01-10
1304;Geoffrey Chaucer;1945-10-14
1305;Patrick J. Walsh;1961-11-06
1306;Milton J. Rosenberg;1918-02-20
1307;Charles R. Pellegrino;1934-08-10
1308;J. Wayne Fears;2015-07-30
1309;Ted Naifeh;1923-08-08
1310;Daryl Guppy;1986-01-05
1311;Ellen Anderson Gholson Glasgow;1994-11-01
1312;Thomas à Kempis;2009-09-25
1313;M. Y. Han;1910-09-12
1314;Mary L. Bogumil;1920-02-26
1315;Denis E. Cosgrove;1903-05-01
1316;Baugh, James R.;1974-04-24
1317;Bennett Cerf;1967-10-20
1318;Mark R. Levin;1964-07-14
1319;Laura Mattoon D’Amore;1974-12-20
1320;Alex Comfort;2001-03-29
1321;Ines Johnson;1963-09-06
1322;Ernest Thompson Seton;1999-01-25
1323;Daniel V. Gallery;2021-02-17
1324;George Pappageotes;1948-05-28
1325;Edgar A. Barnett;1965-10-14
1326;Juliet Hebden;1972-07-31
1327;James P. Caher;1972-08-21
1328;John Stewart Davenport;1949-10-06
1329;Ifeoma Onyefulu;1911-06-05
1330;Mark F. Sohn;1982-03-05
1331;W. C. Jameson;2007-11-27
1332;Geoffrey Perret;1943-02-02
1333;Francis Peter Kasoma;1993-03-01
1334;Richard Webster;1959-02-11
1335;Suzanne Venker;1966-04-08
1336;Cambridge University Press;1934-03-04
1337;Charles Lemert;1926-02-23
1338;Anthony J. Cichoke;2012-07-26
1339;Anita Jarczok;1927-03-09
1340;Michael Chinery;1936-08-08
1341;Langston Hughes;1902-02-17
1342;Matty Simmons;1952-03-09
1343;Amy M. Hollywood;1943-08-01
1344;Evelyn Waugh;1921-02-12
1345;Robert Linthicum;2008-02-11
1346;Zora Marie;2011-11-22
1347;Christina Feldman;1900-07-07
1348;Derek Bryce;1962-02-14
1349;Roberto Esposito;2020-02-04
1350;Princeton Review (Firm);1937-10-24
1351;Dave Cheadle;2017-02-23
1352;Gilberto Freyre;1957-09-01
1353;Yoram Bauman, Ph.D.;1952-03-08
1354;John Mercier McMullen;1987-05-03
1355;Myrtle Stedman;1987-04-29
1356;J. A. Baker;2021-03-11
1357;Tom Greve;1977-08-30
1358;Alfred Allan Lewis;1994-12-08
1359;Hugh Mackay;1913-07-29
1360;Steven L. Emanuel;1924-12-18
1361;James Q. Wilson;1944-10-25
1362;Cecilia Dart-Thornton;1965-06-26
1363;Fabio Biondini;1965-09-17
1364;Hilary Hart;1946-01-02
1365;Theresa Reilly Alsop;1939-07-10
1366;Edward Albert Filene;1914-11-04
1367;William Golding;2017-07-18
1368;Bruce Brooks;1935-05-15
1369;Tim Gautreaux;2004-06-26
1370;James Goodwill;1965-02-18
1371;Peter Downham;1949-03-08
1372;Firefly Books;1920-04-30
1373;Donald Wyman;2016-03-06
1374;Emma Craig;1978-10-27
1375;Charles Champlin;1959-12-18
1376;Ellen Norris Gruber;1921-04-20
1377;Salvatore Fucito;1995-09-15
1378;Richard T. Phillips;1927-08-02
1379;James M. Anderson;1968-02-18
1380;Alicia Terry Henderson;1952-01-03
1381;Lemuel A. Johnson;1922-07-19
1382;Crystal Phillips;1948-02-16
1383;Stephen G. Gassaway;1937-10-06
1384;Corey Wayne;1992-11-16
1385;Alan Caillou;1950-03-16
1386;Thomas George Eyre Powell;1973-11-18
1387;Juerg Kohlas;2020-01-09
